city,timestamp,temperature,season
New York,2010-01-01,4.133658005444901,winter
New York,2010-01-02,-5.014332744173084,winter
New York,2010-01-03,-5.396021240049724,winter
New York,2010-01-04,-4.162949786358376,winter
New York,2010-01-05,-2.217843695093455,winter
New York,2010-01-06,-8.745270141135874,winter
New York,2010-01-07,-3.988060457088457,winter
New York,2010-01-08,-3.677819235218642,winter
New York,2010-01-09,-3.2128518523543286,winter
New York,2010-01-10,-1.227373259694434,winter
New York,2010-01-11,5.008317913756148,winter
New York,2010-01-12,-15.000649292457735,winter
New York,2010-01-13,-3.5180215617355994,winter
New York,2010-01-14,-2.683624788148569,winter
New York,2010-01-15,2.1156687401139607,winter
New York,2010-01-16,0.019795273325778365,winter
New York,2010-01-17,2.1096091735891003,winter
New York,2010-01-18,5.029648520950358,winter
New York,2010-01-19,-7.959360894451292,winter
New York,2010-01-20,-0.6335389668658343,winter
New York,2010-01-21,-3.075291711387072,winter
New York,2010-01-22,-0.9983214944195052,winter
New York,2010-01-23,3.483269174674933,winter
New York,2010-01-24,6.266784715810454,winter
New York,2010-01-25,4.373502532541603,winter
New York,2010-01-26,-5.197486638534453,winter
New York,2010-01-27,-7.219579078091941,winter
New York,2010-01-28,2.9340113798251855,winter
New York,2010-01-29,7.269160223748523,winter
New York,2010-01-30,0.4774729027871475,winter
New York,2010-01-31,2.9409642949991603,winter
New York,2010-02-01,3.266401863683402,winter
New York,2010-02-02,2.9095034540297515,winter
New York,2010-02-03,0.8860974248598329,winter
New York,2010-02-04,-6.364666331280185,winter
New York,2010-02-05,0.37734407605454495,winter
New York,2010-02-06,-2.2608270174455796,winter
New York,2010-02-07,3.3191389460674987,winter
New York,2010-02-08,1.6416953642994798,winter
New York,2010-02-09,-3.41423342739823,winter
New York,2010-02-10,11.064894631695118,winter
New York,2010-02-11,2.9912448835332666,winter
New York,2010-02-12,-2.7301824690104444,winter
New York,2010-02-13,1.3694964365612,winter
New York,2010-02-14,11.788110263869765,winter
New York,2010-02-15,2.539815048644813,winter
New York,2010-02-16,6.592881506554824,winter
New York,2010-02-17,-2.3525054815422215,winter
New York,2010-02-18,-0.3775171935396923,winter
New York,2010-02-19,-0.9923459694938923,winter
New York,2010-02-20,-0.5063306061213589,winter
New York,2010-02-21,2.196860898382851,winter
New York,2010-02-22,2.5598978485078465,winter
New York,2010-02-23,-5.563772111756549,winter
New York,2010-02-24,-3.2219325288368372,winter
New York,2010-02-25,1.8875693667254576,winter
New York,2010-02-26,-5.495623721974349,winter
New York,2010-02-27,-3.7475259941986487,winter
New York,2010-02-28,2.6705717762087486,winter
New York,2010-03-01,16.6315342827726,spring
New York,2010-03-02,14.77178557750159,spring
New York,2010-03-03,11.253424492514556,spring
New York,2010-03-04,18.67709457354089,spring
New York,2010-03-05,11.327265556901093,spring
New York,2010-03-06,2.7817965734910057,spring
New York,2010-03-07,17.135333138114238,spring
New York,2010-03-08,9.437985529318652,spring
New York,2010-03-09,4.422232155779126,spring
New York,2010-03-10,14.053483972892167,spring
New York,2010-03-11,9.974079380795633,spring
New York,2010-03-12,9.316663475162722,spring
New York,2010-03-13,11.268642093093503,spring
New York,2010-03-14,14.053847531463086,spring
New York,2010-03-15,8.418985433172235,spring
New York,2010-03-16,10.297606187483769,spring
New York,2010-03-17,3.287705749497677,spring
New York,2010-03-18,15.101655458944405,spring
New York,2010-03-19,6.691334286018266,spring
New York,2010-03-20,14.79198394560565,spring
New York,2010-03-21,5.644818546095519,spring
New York,2010-03-22,16.005442847162737,spring
New York,2010-03-23,-3.275481683643111,spring
New York,2010-03-24,9.891374095945018,spring
New York,2010-03-25,5.489862155561734,spring
New York,2010-03-26,9.61582965134364,spring
New York,2010-03-27,0.37117974470349857,spring
New York,2010-03-28,18.092993328902132,spring
New York,2010-03-29,10.260768675025886,spring
New York,2010-03-30,8.552115535471106,spring
New York,2010-03-31,11.222417565270732,spring
New York,2010-04-01,6.082479466569892,spring
